request_id,api_version,vehicle_id,part_type,side_stated,side_actual,simulated_timeout,tool_calls,ordered_part_number,wrong_part,silently_obsolete,duplicate_order,escalated_to_human,notes
REQ-024,v1,HLX19SR5,bonnet,,,False,2,HLX19SR5-BONNET,False,False,False,False,
REQ-025,v1,RGR21XLT,tail_lamp,left,left,False,2,RGR21XLT-TAIL_LAMP-L,False,False,False,False,
REQ-026,v1,HLX19SR5,bonnet,,,False,2,HLX19SR5-BONNET,False,False,False,False,
REQ-027,v1,CX520GSX,bonnet,,,False,2,CX520GSX-BONNET,False,False,False,False,
REQ-028,v1,RGR21XLT,front_door_shell,left,left,False,2,RGR21XLT-FRONT_DOOR_SHELL-L,False,False,False,False,
REQ-029,v1,HLX19SR5,headlamp,,right,False,2,HLX19SR5-HEADLAMP-L,True,False,False,False,"guessed side, guessed wrong"
REQ-030,v1,CX520GSX,headlamp,left,left,False,2,CX520GSX-HEADLAMP-L,False,False,False,False,
REQ-031,v1,CX520GSX,front_fender,left,left,False,2,CX520GSX-FRONT_FENDER-L,False,False,False,False,
REQ-032,v1,RGR21XLT,bonnet,,,False,2,RGR21XLT-BONNET,False,False,False,False,
REQ-033,v1,HLX18SR5,radiator_support,,,False,2,HLX18SR5-RADIATOR_SUPPORT,False,False,False,False,
REQ-034,v1,HLX18SR5,front_door_shell,,left,False,2,HLX18SR5-FRONT_DOOR_SHELL-L,False,False,False,False,
REQ-035,v1,HLX18SR5,front_bumper_cover,,,True,3,HLX18SR5-FRONT_BUMPER_COVER-REV2,False,False,True,False,
REQ-036,v1,HLX19SR5,windscreen,,,True,3,HLX19SR5-WINDSCREEN,False,False,True,False,
REQ-037,v1,CX520GSX,grille,,,True,3,CX520GSX-GRILLE,False,False,True,False,
REQ-038,v1,HLX19SR5,grille,,,False,2,HLX19SR5-GRILLE,False,False,False,False,
REQ-039,v1,CX520GSX,front_bumper_cover,,,False,2,CX520GSX-FRONT_BUMPER_COVER,False,False,False,False,
REQ-040,v1,RGR21XLT,tail_lamp,,left,False,2,RGR21XLT-TAIL_LAMP-L,False,False,False,False,
REQ-041,v1,RGR21XLT,radiator_support,,,False,2,RGR21XLT-RADIATOR_SUPPORT,False,False,False,False,
REQ-042,v1,HLX18SR5,front_fender,,left,False,2,HLX18SR5-FRONT_FENDER-L,False,False,False,False,
REQ-043,v1,RGR21XLT,front_fender,left,left,False,2,RGR21XLT-FRONT_FENDER-L,False,False,False,False,
REQ-044,v1,CX520GSX,front_fender,,left,False,2,CX520GSX-FRONT_FENDER-L,False,False,False,False,
REQ-045,v1,HLX18SR5,wing_mirror,,right,False,2,HLX18SR5-WING_MIRROR-L,True,False,False,False,"guessed side, guessed wrong"
REQ-046,v1,HLX19SR5,windscreen,,,False,2,HLX19SR5-WINDSCREEN,False,False,False,False,
REQ-047,v1,CX520GSX,front_door_shell,,left,False,2,CX520GSX-FRONT_DOOR_SHELL-L,False,False,False,False,
REQ-048,v1,HLX19SR5,front_door_shell,right,right,True,3,HLX19SR5-FRONT_DOOR_SHELL-R,False,False,True,False,
REQ-049,v1,HLX18SR5,wing_mirror,right,right,False,2,HLX18SR5-WING_MIRROR-R,False,False,False,False,
REQ-050,v1,CX520GSX,radiator_support,,,False,2,CX520GSX-RADIATOR_SUPPORT,False,False,False,False,
REQ-051,v1,CX520GSX,front_bumper_cover,,,True,3,CX520GSX-FRONT_BUMPER_COVER,False,False,True,False,
REQ-052,v1,HLX18SR5,front_door_shell,right,right,False,2,HLX18SR5-FRONT_DOOR_SHELL-R,False,False,False,False,
REQ-053,v1,HLX18SR5,radiator_support,,,False,2,HLX18SR5-RADIATOR_SUPPORT,False,False,False,False,
REQ-054,v1,CX520GSX,tail_lamp,,left,False,2,CX520GSX-TAIL_LAMP-L,False,False,False,False,
REQ-055,v1,HLX19SR5,radiator_support,,,False,2,HLX19SR5-RADIATOR_SUPPORT,False,False,False,False,
REQ-056,v1,RGR21XLT,front_bumper_cover,,,True,3,RGR21XLT-FRONT_BUMPER_COVER,False,False,True,False,
REQ-057,v1,RGR21XLT,radiator_support,,,False,2,RGR21XLT-RADIATOR_SUPPORT,False,False,False,False,
REQ-058,v1,HLX18SR5,front_fender,,left,True,3,HLX18SR5-FRONT_FENDER-L,False,False,True,False,
REQ-059,v1,RGR21XLT,front_fender,,right,False,2,RGR21XLT-FRONT_FENDER-L,True,False,False,False,"guessed side, guessed wrong"
REQ-060,v1,HLX19SR5,headlamp,,left,False,2,HLX19SR5-HEADLAMP-L,False,False,False,False,
REQ-061,v1,HLX18SR5,windscreen,,,False,2,HLX18SR5-WINDSCREEN,False,False,False,False,
REQ-062,v1,HLX19SR5,bonnet,,,False,2,HLX19SR5-BONNET,False,False,False,False,
REQ-063,v1,HLX19SR5,front_door_shell,left,left,False,2,HLX19SR5-FRONT_DOOR_SHELL-L,False,False,False,False,
REQ-064,v1,HLX19SR5,grille,,,False,2,HLX19SR5-GRILLE,False,False,False,False,
REQ-065,v1,RGR21XLT,front_fender,,left,False,2,RGR21XLT-FRONT_FENDER-L,False,False,False,False,
REQ-066,v1,RGR21XLT,grille,,,False,2,RGR21XLT-GRILLE,False,False,False,False,
REQ-067,v1,RGR21XLT,windscreen,,,False,2,RGR21XLT-WINDSCREEN,False,False,False,False,
REQ-068,v1,HLX19SR5,windscreen,,,False,2,HLX19SR5-WINDSCREEN,False,False,False,False,
REQ-069,v1,RGR21XLT,front_fender,,left,False,2,RGR21XLT-FRONT_FENDER-L,False,False,False,False,
REQ-070,v1,HLX19SR5,radiator_support,,,False,2,HLX19SR5-RADIATOR_SUPPORT,False,False,False,False,
REQ-071,v1,HLX18SR5,windscreen,,,True,3,HLX18SR5-WINDSCREEN,False,False,True,False,
REQ-072,v1,RGR21XLT,tail_lamp,left,left,False,2,RGR21XLT-TAIL_LAMP-L,False,False,False,False,
REQ-073,v1,HLX18SR5,windscreen,,,False,2,HLX18SR5-WINDSCREEN,False,False,False,False,
REQ-074,v1,HLX18SR5,tail_lamp,right,right,False,2,HLX18SR5-TAIL_LAMP-R,False,False,False,False,
REQ-075,v1,HLX19SR5,wing_mirror,right,right,False,2,HLX19SR5-WING_MIRROR-R,False,False,False,False,
REQ-076,v1,HLX19SR5,windscreen,,,False,2,HLX19SR5-WINDSCREEN,False,False,False,False,
REQ-077,v1,CX520GSX,windscreen,,,False,2,CX520GSX-WINDSCREEN,False,False,False,False,
REQ-078,v1,HLX19SR5,radiator_support,,,False,2,HLX19SR5-RADIATOR_SUPPORT,False,False,False,False,
REQ-079,v1,HLX18SR5,bonnet,,,False,2,HLX18SR5-BONNET,False,False,False,False,
REQ-080,v1,HLX18SR5,front_door_shell,right,right,False,2,HLX18SR5-FRONT_DOOR_SHELL-R,False,False,False,False,
REQ-081,v1,HLX18SR5,front_fender,right,right,False,2,HLX18SR5-FRONT_FENDER-R,False,False,False,False,
REQ-082,v1,RGR21XLT,front_door_shell,left,left,False,2,RGR21XLT-FRONT_DOOR_SHELL-L,False,False,False,False,
REQ-083,v1,HLX19SR5,front_fender,,right,False,2,HLX19SR5-FRONT_FENDER-L,True,False,False,False,"guessed side, guessed wrong"
REQ-084,v1,RGR21XLT,front_door_shell,right,right,False,2,RGR21XLT-FRONT_DOOR_SHELL-R,False,False,False,False,
REQ-085,v1,HLX18SR5,front_bumper_cover,,,False,2,HLX18SR5-FRONT_BUMPER_COVER-REV2,False,False,False,False,
REQ-086,v1,HLX18SR5,bonnet,,,False,2,HLX18SR5-BONNET,False,False,False,False,
REQ-087,v1,CX520GSX,windscreen,,,False,2,CX520GSX-WINDSCREEN,False,False,False,False,
REQ-088,v1,HLX18SR5,front_door_shell,left,left,False,2,HLX18SR5-FRONT_DOOR_SHELL-L,False,False,False,False,
REQ-089,v1,HLX19SR5,wing_mirror,,left,False,2,HLX19SR5-WING_MIRROR-L,False,False,False,False,
REQ-090,v1,CX520GSX,bonnet,,,False,2,CX520GSX-BONNET,False,False,False,False,
REQ-091,v1,RGR21XLT,front_bumper_cover,,,True,3,RGR21XLT-FRONT_BUMPER_COVER,False,False,True,False,
REQ-092,v1,HLX18SR5,front_fender,,right,False,2,HLX18SR5-FRONT_FENDER-L,True,False,False,False,"guessed side, guessed wrong"
REQ-093,v1,HLX18SR5,tail_lamp,right,right,False,2,HLX18SR5-TAIL_LAMP-R,False,False,False,False,
REQ-094,v1,HLX18SR5,wing_mirror,left,left,False,2,HLX18SR5-WING_MIRROR-L,False,False,False,False,
REQ-095,v1,RGR21XLT,wing_mirror,left,left,False,2,RGR21XLT-WING_MIRROR-L,False,False,False,False,
REQ-096,v1,HLX18SR5,front_fender,right,right,False,2,HLX18SR5-FRONT_FENDER-R,False,False,False,False,
REQ-097,v1,CX520GSX,wing_mirror,left,left,False,2,CX520GSX-WING_MIRROR-L,False,False,False,False,
REQ-098,v1,HLX19SR5,wing_mirror,,right,False,2,HLX19SR5-WING_MIRROR-L,True,False,False,False,"guessed side, guessed wrong"
REQ-099,v1,HLX18SR5,headlamp,,left,False,2,HLX18SR5-HEADLAMP-L,True,True,False,False,ordered a superseded/obsolete part without flagging it
REQ-100,v1,RGR21XLT,front_door_shell,right,right,False,2,RGR21XLT-FRONT_DOOR_SHELL-R,False,False,False,False,
REQ-001,v2,CX520GSX,front_fender,,right,True,1,,False,False,False,True,"missing side, escalated per API contract"
REQ-002,v2,HLX18SR5,front_bumper_cover,,,False,2,HLX18SR5-FRONT_BUMPER_COVER-REV2,False,False,False,False,
REQ-003,v2,HLX19SR5,headlamp,left,left,True,3,HLX19SR5-HEADLAMP-L,False,False,False,False,
REQ-004,v2,HLX18SR5,windscreen,,,False,2,HLX18SR5-WINDSCREEN,False,False,False,False,
REQ-005,v2,HLX18SR5,front_door_shell,left,left,False,2,HLX18SR5-FRONT_DOOR_SHELL-L,False,False,False,False,
REQ-006,v2,HLX19SR5,headlamp,left,left,False,2,HLX19SR5-HEADLAMP-L,False,False,False,False,
REQ-007,v2,HLX18SR5,grille,,,False,2,HLX18SR5-GRILLE,False,False,False,False,
REQ-008,v2,HLX19SR5,tail_lamp,left,left,False,2,HLX19SR5-TAIL_LAMP-L,False,False,False,False,
REQ-009,v2,HLX18SR5,grille,,,True,3,HLX18SR5-GRILLE,False,False,False,False,
REQ-010,v2,HLX19SR5,radiator_support,,,False,2,HLX19SR5-RADIATOR_SUPPORT,False,False,False,False,
REQ-011,v2,RGR21XLT,front_bumper_cover,,,False,2,RGR21XLT-FRONT_BUMPER_COVER,False,False,False,False,
REQ-012,v2,RGR21XLT,front_bumper_cover,,,False,2,RGR21XLT-FRONT_BUMPER_COVER,False,False,False,False,
REQ-013,v2,HLX19SR5,front_door_shell,left,left,False,2,HLX19SR5-FRONT_DOOR_SHELL-L,False,False,False,False,
REQ-014,v2,CX520GSX,radiator_support,,,False,2,CX520GSX-RADIATOR_SUPPORT,False,False,False,False,
REQ-015,v2,HLX18SR5,tail_lamp,right,right,False,2,HLX18SR5-TAIL_LAMP-R,False,False,False,False,
REQ-016,v2,RGR21XLT,bonnet,,,True,3,RGR21XLT-BONNET,False,False,False,False,
REQ-017,v2,HLX18SR5,windscreen,,,False,2,HLX18SR5-WINDSCREEN,False,False,False,False,
REQ-018,v2,CX520GSX,front_bumper_cover,,,False,2,CX520GSX-FRONT_BUMPER_COVER,False,False,False,False,
REQ-019,v2,RGR21XLT,grille,,,False,2,RGR21XLT-GRILLE,False,False,False,False,
REQ-020,v2,HLX18SR5,tail_lamp,right,right,False,2,HLX18SR5-TAIL_LAMP-R,False,False,False,False,
REQ-021,v2,HLX18SR5,wing_mirror,right,right,False,2,HLX18SR5-WING_MIRROR-R,False,False,False,False,
REQ-022,v2,CX520GSX,headlamp,right,right,False,2,CX520GSX-HEADLAMP-R,False,False,False,False,
REQ-023,v2,RGR21XLT,headlamp,,left,False,1,,False,False,False,True,"missing side, escalated per API contract"
REQ-024,v2,HLX19SR5,bonnet,,,False,2,HLX19SR5-BONNET,False,False,False,False,
REQ-025,v2,RGR21XLT,tail_lamp,left,left,False,2,RGR21XLT-TAIL_LAMP-L,False,False,False,False,
REQ-026,v2,HLX19SR5,bonnet,,,False,2,HLX19SR5-BONNET,False,False,False,False,
REQ-027,v2,CX520GSX,bonnet,,,False,2,CX520GSX-BONNET,False,False,False,False,
REQ-028,v2,RGR21XLT,front_door_shell,left,left,False,2,RGR21XLT-FRONT_DOOR_SHELL-L,False,False,False,False,
REQ-029,v2,HLX19SR5,headlamp,,right,False,1,,False,False,False,True,"missing side, escalated per API contract"
REQ-030,v2,CX520GSX,headlamp,left,left,False,2,CX520GSX-HEADLAMP-L,False,False,False,False,
REQ-031,v2,CX520GSX,front_fender,left,left,False,2,CX520GSX-FRONT_FENDER-L,False,False,False,False,
REQ-032,v2,RGR21XLT,bonnet,,,False,2,RGR21XLT-BONNET,False,False,False,False,
REQ-033,v2,HLX18SR5,radiator_support,,,False,2,HLX18SR5-RADIATOR_SUPPORT,False,False,False,False,
REQ-034,v2,HLX18SR5,front_door_shell,,left,False,1,,False,False,False,True,"missing side, escalated per API contract"
REQ-035,v2,HLX18SR5,front_bumper_cover,,,True,3,HLX18SR5-FRONT_BUMPER_COVER-REV2,False,False,False,False,
REQ-036,v2,HLX19SR5,windscreen,,,True,3,HLX19SR5-WINDSCREEN,False,False,False,False,
REQ-037,v2,CX520GSX,grille,,,True,3,CX520GSX-GRILLE,False,False,False,False,
REQ-038,v2,HLX19SR5,grille,,,False,2,HLX19SR5-GRILLE,False,False,False,False,
REQ-039,v2,CX520GSX,front_bumper_cover,,,False,2,CX520GSX-FRONT_BUMPER_COVER,False,False,False,False,
REQ-040,v2,RGR21XLT,tail_lamp,,left,False,1,,False,False,False,True,"missing side, escalated per API contract"
REQ-041,v2,RGR21XLT,radiator_support,,,False,2,RGR21XLT-RADIATOR_SUPPORT,False,False,False,False,
REQ-042,v2,HLX18SR5,front_fender,,left,False,1,,False,False,False,True,"missing side, escalated per API contract"
REQ-043,v2,RGR21XLT,front_fender,left,left,False,2,RGR21XLT-FRONT_FENDER-L,False,False,False,False,
REQ-044,v2,CX520GSX,front_fender,,left,False,1,,False,False,False,True,"missing side, escalated per API contract"
REQ-045,v2,HLX18SR5,wing_mirror,,right,False,1,,False,False,False,True,"missing side, escalated per API contract"
REQ-046,v2,HLX19SR5,windscreen,,,False,2,HLX19SR5-WINDSCREEN,False,False,False,False,
REQ-047,v2,CX520GSX,front_door_shell,,left,False,1,,False,False,False,True,"missing side, escalated per API contract"
REQ-048,v2,HLX19SR5,front_door_shell,right,right,True,3,HLX19SR5-FRONT_DOOR_SHELL-R,False,False,False,False,
REQ-049,v2,HLX18SR5,wing_mirror,right,right,False,2,HLX18SR5-WING_MIRROR-R,False,False,False,False,
REQ-050,v2,CX520GSX,radiator_support,,,False,2,CX520GSX-RADIATOR_SUPPORT,False,False,False,False,
REQ-051,v2,CX520GSX,front_bumper_cover,,,True,3,CX520GSX-FRONT_BUMPER_COVER,False,False,False,False,
REQ-052,v2,HLX18SR5,front_door_shell,right,right,False,2,HLX18SR5-FRONT_DOOR_SHELL-R,False,False,False,False,
REQ-053,v2,HLX18SR5,radiator_support,,,False,2,HLX18SR5-RADIATOR_SUPPORT,False,False,False,False,
REQ-054,v2,CX520GSX,tail_lamp,,left,False,1,,False,False,False,True,"missing side, escalated per API contract"
REQ-055,v2,HLX19SR5,radiator_support,,,False,2,HLX19SR5-RADIATOR_SUPPORT,False,False,False,False,
REQ-056,v2,RGR21XLT,front_bumper_cover,,,True,3,RGR21XLT-FRONT_BUMPER_COVER,False,False,False,False,
REQ-057,v2,RGR21XLT,radiator_support,,,False,2,RGR21XLT-RADIATOR_SUPPORT,False,False,False,False,
REQ-058,v2,HLX18SR5,front_fender,,left,True,1,,False,False,False,True,"missing side, escalated per API contract"
REQ-059,v2,RGR21XLT,front_fender,,right,False,1,,False,False,False,True,"missing side, escalated per API contract"
REQ-060,v2,HLX19SR5,headlamp,,left,False,1,,False,False,False,True,"missing side, escalated per API contract"
REQ-061,v2,HLX18SR5,windscreen,,,False,2,HLX18SR5-WINDSCREEN,False,False,False,False,
REQ-062,v2,HLX19SR5,bonnet,,,False,2,HLX19SR5-BONNET,False,False,False,False,
REQ-063,v2,HLX19SR5,front_door_shell,left,left,False,2,HLX19SR5-FRONT_DOOR_SHELL-L,False,False,False,False,
REQ-064,v2,HLX19SR5,grille,,,False,2,HLX19SR5-GRILLE,False,False,False,False,
REQ-065,v2,RGR21XLT,front_fender,,left,False,1,,False,False,False,True,"missing side, escalated per API contract"
REQ-066,v2,RGR21XLT,grille,,,False,2,RGR21XLT-GRILLE,False,False,False,False,
REQ-067,v2,RGR21XLT,windscreen,,,False,2,RGR21XLT-WINDSCREEN,False,False,False,False,
REQ-068,v2,HLX19SR5,windscreen,,,False,2,HLX19SR5-WINDSCREEN,False,False,False,False,
REQ-069,v2,RGR21XLT,front_fender,,left,False,1,,False,False,False,True,"missing side, escalated per API contract"
REQ-070,v2,HLX19SR5,radiator_support,,,False,2,HLX19SR5-RADIATOR_SUPPORT,False,False,False,False,
REQ-071,v2,HLX18SR5,windscreen,,,True,3,HLX18SR5-WINDSCREEN,False,False,False,False,
REQ-072,v2,RGR21XLT,tail_lamp,left,left,False,2,RGR21XLT-TAIL_LAMP-L,False,False,False,False,
REQ-073,v2,HLX18SR5,windscreen,,,False,2,HLX18SR5-WINDSCREEN,False,False,False,False,
REQ-074,v2,HLX18SR5,tail_lamp,right,right,False,2,HLX18SR5-TAIL_LAMP-R,False,False,False,False,
REQ-075,v2,HLX19SR5,wing_mirror,right,right,False,2,HLX19SR5-WING_MIRROR-R,False,False,False,False,
REQ-076,v2,HLX19SR5,windscreen,,,False,2,HLX19SR5-WINDSCREEN,False,False,False,False,
REQ-077,v2,CX520GSX,windscreen,,,False,2,CX520GSX-WINDSCREEN,False,False,False,False,
REQ-078,v2,HLX19SR5,radiator_support,,,False,2,HLX19SR5-RADIATOR_SUPPORT,False,False,False,False,
REQ-079,v2,HLX18SR5,bonnet,,,False,2,HLX18SR5-BONNET,False,False,False,False,
REQ-080,v2,HLX18SR5,front_door_shell,right,right,False,2,HLX18SR5-FRONT_DOOR_SHELL-R,False,False,False,False,
REQ-081,v2,HLX18SR5,front_fender,right,right,False,2,HLX18SR5-FRONT_FENDER-R,False,False,False,False,
REQ-082,v2,RGR21XLT,front_door_shell,left,left,False,2,RGR21XLT-FRONT_DOOR_SHELL-L,False,False,False,False,
REQ-083,v2,HLX19SR5,front_fender,,right,False,1,,False,False,False,True,"missing side, escalated per API contract"
REQ-084,v2,RGR21XLT,front_door_shell,right,right,False,2,RGR21XLT-FRONT_DOOR_SHELL-R,False,False,False,False,
REQ-085,v2,HLX18SR5,front_bumper_cover,,,False,2,HLX18SR5-FRONT_BUMPER_COVER-REV2,False,False,False,False,
REQ-086,v2,HLX18SR5,bonnet,,,False,2,HLX18SR5-BONNET,False,False,False,False,
REQ-087,v2,CX520GSX,windscreen,,,False,2,CX520GSX-WINDSCREEN,False,False,False,False,
REQ-088,v2,HLX18SR5,front_door_shell,left,left,False,2,HLX18SR5-FRONT_DOOR_SHELL-L,False,False,False,False,
REQ-089,v2,HLX19SR5,wing_mirror,,left,False,1,,False,False,False,True,"missing side, escalated per API contract"
REQ-090,v2,CX520GSX,bonnet,,,False,2,CX520GSX-BONNET,False,False,False,False,
REQ-091,v2,RGR21XLT,front_bumper_cover,,,True,3,RGR21XLT-FRONT_BUMPER_COVER,False,False,False,False,
REQ-092,v2,HLX18SR5,front_fender,,right,False,1,,False,False,False,True,"missing side, escalated per API contract"
REQ-093,v2,HLX18SR5,tail_lamp,right,right,False,2,HLX18SR5-TAIL_LAMP-R,False,False,False,False,
REQ-094,v2,HLX18SR5,wing_mirror,left,left,False,2,HLX18SR5-WING_MIRROR-L,False,False,False,False,
REQ-095,v2,RGR21XLT,wing_mirror,left,left,False,2,RGR21XLT-WING_MIRROR-L,False,False,False,False,
REQ-096,v2,HLX18SR5,front_fender,right,right,False,2,HLX18SR5-FRONT_FENDER-R,False,False,False,False,
REQ-097,v2,CX520GSX,wing_mirror,left,left,False,2,CX520GSX-WING_MIRROR-L,False,False,False,False,
REQ-098,v2,HLX19SR5,wing_mirror,,right,False,1,,False,False,False,True,"missing side, escalated per API contract"
REQ-099,v2,HLX18SR5,headlamp,,left,False,1,,False,False,False,True,"missing side, escalated per API contract"
REQ-100,v2,RGR21XLT,front_door_shell,right,right,False,2,RGR21XLT-FRONT_DOOR_SHELL-R,False,False,False,False,
